Date,Time,DateTime,Load_kWh,Solar_kWh,Price_NTD_kWh
2024-11-01,01:00:00,2024-11-01 01:00:00,1983,0,2
2024-11-01,02:00:00,2024-11-01 02:00:00,1834,0,2
2024-11-01,03:00:00,2024-11-01 03:00:00,1722,0,2
2024-11-01,04:00:00,2024-11-01 04:00:00,1666,0,2
2024-11-01,05:00:00,2024-11-01 05:00:00,1658,0,2
2024-11-01,06:00:00,2024-11-01 06:00:00,1625,0,4.7
2024-11-01,07:00:00,2024-11-01 07:00:00,1649,6,4.7
2024-11-01,08:00:00,2024-11-01 08:00:00,1993,44,4.7
2024-11-01,09:00:00,2024-11-01 09:00:00,2380,99,4.7
2024-11-01,10:00:00,2024-11-01 10:00:00,2870,125,4.7
2024-11-01,11:00:00,2024-11-01 11:00:00,3072,195,2
2024-11-01,12:00:00,2024-11-01 12:00:00,3284,155,2
2024-11-01,13:00:00,2024-11-01 13:00:00,3592,153,2
2024-11-01,14:00:00,2024-11-01 14:00:00,3600,76,4.7
2024-11-01,15:00:00,2024-11-01 15:00:00,3586,123,4.7
2024-11-01,16:00:00,2024-11-01 16:00:00,3543,88,4.7
2024-11-01,17:00:00,2024-11-01 17:00:00,3367,20,4.7
2024-11-01,18:00:00,2024-11-01 18:00:00,3173,0,4.7
2024-11-01,19:00:00,2024-11-01 19:00:00,2983,0,4.7
2024-11-01,20:00:00,2024-11-01 20:00:00,2819,0,4.7
2024-11-01,21:00:00,2024-11-01 21:00:00,2686,0,4.7
2024-11-01,22:00:00,2024-11-01 22:00:00,2523,0,4.7
2024-11-01,23:00:00,2024-11-01 23:00:00,2265,0,4.7
2024-11-02,00:00:00,2024-11-02 00:00:00,2120,0,2
2024-11-02,01:00:00,2024-11-02 01:00:00,2069,0,2
2024-11-02,02:00:00,2024-11-02 02:00:00,1937,0,2
2024-11-02,03:00:00,2024-11-02 03:00:00,1825,0,2
2024-11-02,04:00:00,2024-11-02 04:00:00,1776,0,2
2024-11-02,05:00:00,2024-11-02 05:00:00,1694,0,2
2024-11-02,06:00:00,2024-11-02 06:00:00,1694,0,2.1
2024-11-02,07:00:00,2024-11-02 07:00:00,1734,0,2.1
2024-11-02,08:00:00,2024-11-02 08:00:00,1915,26,2.1
2024-11-02,09:00:00,2024-11-02 09:00:00,2018,82,2.1
2024-11-02,10:00:00,2024-11-02 10:00:00,2140,167,2.1
2024-11-02,11:00:00,2024-11-02 11:00:00,2166,190,2
2024-11-02,12:00:00,2024-11-02 12:00:00,2192,255,2
2024-11-02,13:00:00,2024-11-02 13:00:00,2264,269,2
2024-11-02,14:00:00,2024-11-02 14:00:00,2424,218,2.1
2024-11-02,15:00:00,2024-11-02 15:00:00,2458,168,2.1
2024-11-02,16:00:00,2024-11-02 16:00:00,2416,124,2.1
2024-11-02,17:00:00,2024-11-02 17:00:00,2478,37,2.1
2024-11-02,18:00:00,2024-11-02 18:00:00,2341,0,2.1
2024-11-02,19:00:00,2024-11-02 19:00:00,2281,0,2.1
2024-11-02,20:00:00,2024-11-02 20:00:00,2251,0,2.1
2024-11-02,21:00:00,2024-11-02 21:00:00,2201,0,2.1
2024-11-02,22:00:00,2024-11-02 22:00:00,2120,0,2.1
2024-11-02,23:00:00,2024-11-02 23:00:00,2004,0,2.1
2024-11-03,00:00:00,2024-11-03 00:00:00,1963,0,2
2024-11-03,01:00:00,2024-11-03 01:00:00,1969,0,2
2024-11-03,02:00:00,2024-11-03 02:00:00,1864,0,2
2024-11-03,03:00:00,2024-11-03 03:00:00,1780,0,2
2024-11-03,04:00:00,2024-11-03 04:00:00,1728,0,2
2024-11-03,05:00:00,2024-11-03 05:00:00,1676,0,2
2024-11-03,06:00:00,2024-11-03 06:00:00,1616,0,2
2024-11-03,07:00:00,2024-11-03 07:00:00,1623,0,2
2024-11-03,08:00:00,2024-11-03 08:00:00,1772,20,2
2024-11-03,09:00:00,2024-11-03 09:00:00,1843,79,2
2024-11-03,10:00:00,2024-11-03 10:00:00,1944,161,2
2024-11-03,11:00:00,2024-11-03 11:00:00,2044,230,2
2024-11-03,12:00:00,2024-11-03 12:00:00,2184,262,2
2024-11-03,13:00:00,2024-11-03 13:00:00,2263,263,2
2024-11-03,14:00:00,2024-11-03 14:00:00,2332,232,2
2024-11-03,15:00:00,2024-11-03 15:00:00,2460,189,2
2024-11-03,16:00:00,2024-11-03 16:00:00,2388,117,2
2024-11-03,17:00:00,2024-11-03 17:00:00,2370,37,2
2024-11-03,18:00:00,2024-11-03 18:00:00,2277,2,2
2024-11-03,19:00:00,2024-11-03 19:00:00,2260,0,2
2024-11-03,20:00:00,2024-11-03 20:00:00,2246,0,2
2024-11-03,21:00:00,2024-11-03 21:00:00,2245,0,2
2024-11-03,22:00:00,2024-11-03 22:00:00,2174,0,2
2024-11-03,23:00:00,2024-11-03 23:00:00,2097,0,2
2024-11-04,00:00:00,2024-11-04 00:00:00,2074,0,2
2024-11-04,01:00:00,2024-11-04 01:00:00,2048,0,2
2024-11-04,02:00:00,2024-11-04 02:00:00,1909,0,2
2024-11-04,03:00:00,2024-11-04 03:00:00,1794,0,2
