"path","size_bytes","reason"
".gitignore","825","package-gitignore"
"DA_AWARE_MPC_RERUN_RESULTS_AND_METHOD_DECISION.md","19590","reference-doc"
"DA_AWARE_MPC_VS_DA_MODEL_DIFFERENCE_AUDIT.md","27461","reference-doc"
"DAY_AHEAD_INTRADAY_MILP_MPC_MODEL_AUDIT.md","34220","reference-doc"
"DECISION_LOG.md","19123","reference-doc"
"EXPERIMENT_PROGRESS_AND_METHOD_LOG.md","41777","reference-doc"
"FIGURES_TABLES_INDEX.md","4397","thesis-assets"
"FINAL_FILE_SELECTION.md","7689","project-shell"
"FINAL_METHOD_LOGIC_AUDIT_AND_RERUN_RECOMMENDATION.md","40176","reference-doc"
"FORECASTING_DA_ID_MODEL_COMPARISON_FINAL.md","10438","reference-doc"
"milp_v2/__init__.py","0","milp-core"
"milp_v2/common.py","4398","milp-core"
"milp_v2/config.yaml","4857","milp-core"
"milp_v2\layer_a\__init__.py","0","milp-layer-a"
"milp_v2\layer_a\designs\design_BASE.json","980","milp-layer-a"
"milp_v2\layer_a\designs\design_DD.json","546","milp-layer-a"
"milp_v2\layer_a\designs\design_DD_q50.json","554","milp-layer-a"
"milp_v2\layer_a\designs\design_DP.json","546","milp-layer-a"
"milp_v2\layer_a\designs\design_DP_q50.json","554","milp-layer-a"
"milp_v2\layer_a\designs\design_M1.json","980","milp-layer-a"
"milp_v2\layer_a\designs\design_M2.json","980","milp-layer-a"
"milp_v2\layer_a\designs\design_M3.json","980","milp-layer-a"
"milp_v2\layer_a\designs\design_M4.json","980","milp-layer-a"
"milp_v2\layer_a\designs\design_M5.json","980","milp-layer-a"
"milp_v2\layer_a\designs\design_PD.json","552","milp-layer-a"
"milp_v2\layer_a\designs\design_PD_q50.json","556","milp-layer-a"
"milp_v2\layer_a\designs\design_PI.json","550","milp-layer-a"
"milp_v2\layer_a\designs\design_PP.json","552","milp-layer-a"
"milp_v2\layer_a\designs\layer_a_summary.json","1219","milp-layer-a"
"milp_v2\layer_a\designs\sizing_result_base.json","980","milp-layer-a"
"milp_v2\layer_a\milp_annual.py","19234","milp-layer-a"
"milp_v2\layer_a\run_layer_a.py","2539","milp-layer-a"
"milp_v2\layer_a\run_sizing_base.py","16657","milp-layer-a"
"milp_v2\layer_b\__init__.py","0","milp-layer-b"
"milp_v2\layer_b\milp_cvar.py","14820","milp-layer-b"
"milp_v2\layer_b\milp_daily.py","13330","milp-layer-b"
"milp_v2\layer_b\milp_mpc.py","24557","milp-layer-b"
"milp_v2\layer_b\milp_pvfocus_revised_fullspec.py","17322","milp-layer-b"
"milp_v2\layer_b\milp_pvfocus_rtcc_reference.py","16472","milp-layer-b"
"milp_v2\layer_b\run_layer_b.py","7845","milp-layer-b"
"milp_v2\layer_b\run_layer_b_cvar.py","7911","milp-layer-b"
"milp_v2\layer_b\run_layer_b_mpc.py","20323","milp-layer-b"
"milp_v2\layer_b\validate_cvar.py","9358","milp-layer-b"
"new_pipeline/data/output/experiments/cwa_ghi_pv_truth_rebuild/cwa_pv_truth_summary.csv","416","final-evidence"
"new_pipeline/data/output/experiments/cwa_ghi_pv_truth_rebuild/full_year_replay_truth_package_CWA_GHI_PV.parquet","109789","final-evidence"
"new_pipeline/data/output/experiments/figures/table1_agaci_metrics.csv","230","final-evidence"
"new_pipeline/data/output/experiments/final_four_load_bias_robustness_pvfocus/annual_cost_summary_realized_basis.csv","2526","final-evidence"
"new_pipeline/data/output/experiments/id_h24_ghi_prob/id_h24_ghi_prob_metrics.csv","8382","final-evidence"
"new_pipeline/data/output/experiments/id_h24_ghi_prob/id_h24_pv_prob_metrics.csv","1560","final-evidence"
"new_pipeline/data/output/experiments/lit_guided_id_h24_ghi/literature_guided_id_h24_ghi_model_comparison.csv","6616","final-evidence"
"new_pipeline/data/output/experiments/main_forecasting_model_comparison/main_model_comparison.csv","720","final-evidence"
