month_id,cwa_pv_energy_kwh,cwa_pv_max_kw,cwa_pv_mean_kw,ghi_max_wm2,ghi_mean_wm2
1,159713.7777315213,1653.997777777778,214.66905609075442,769.4444444444445,99.86465207050352
2,143709.7118186978,1862.9866666666667,213.85373782544315,866.6666666666666,99.48536370740752
3,225404.02562813522,2137.657777777778,302.96240003781617,994.4444444444445,140.93896540650172
4,257404.738095117,2161.5422222222223,357.5065806876625,1005.5555555555555,166.31307251938154
5,285278.84160708846,2269.0222222222224,383.43930323533397,1055.5555555555557,178.3770483975316
6,318388.25476676994,2298.8777777777777,442.20590939829157,1069.4444444444443,205.7154398019592
7,299060.8342116722,2257.08,401.9634868436454,1050.0,186.99455100653398
8,373783.98260271316,2239.166666666667,502.39782607891556,1041.6666666666667,233.71688969060082
9,316704.81515949394,2089.888888888889,439.86779883263046,972.2222222222222,204.62774415362412
10,239394.11490459664,2018.2355555555557,321.7662834739202,938.8888888888889,149.6865851665055
11,138642.21168675486,1510.6911111111112,192.55862734271508,702.7777777777778,89.57881807904496
12,119074.16554431157,1498.7488888888886,160.0459214305263,697.2222222222222,74.45381532867805
