case,load_profile_name,month_id,shield_slack_positive_hours,z_shield_max_kw,first_step_charging_near_risk_hours,risk0_hours,monthly_peak_kw
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,1,0,0.0,0,0,3281.4455801438944
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,2,0,0.0,0,0,3841.393897912345
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,3,0,0.0,0,0,3816.7048272293728
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,4,0,0.0,0,0,4238.335643750804
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,5,0,0.0,0,0,4698.558768888888
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,6,0,0.0,0,9,4005.7511600000003
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,7,0,0.0,0,10,3906.9083066666667
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,8,0,0.0,0,2,3991.402575259156
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,9,0,0.0,1,5,4619.010995555555
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,10,0,0.0,0,5,4843.356106468437
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,11,0,0.0,0,0,4621.429866666666
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,12,0,0.0,0,0,3998.3537066666663
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,1,0,0.0,0,0,3197.1872701608613
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,2,0,0.0,0,0,3400.976306201172
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,3,0,0.0,0,2,3386.146358325582
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,4,0,0.0,0,1,3729.148106666667
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,5,0,0.0,2,37,3974.145226504991
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,6,2,549.8285155885742,1,23,3870.2100939404277
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,7,0,0.0,1,44,4014.0803228260256
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,8,0,0.0,0,21,3671.99339288954
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,9,2,311.98067144992183,1,35,4440.120857533677
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,10,0,0.0,0,16,4459.054314347628
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,11,0,0.0,0,7,3585.7821390882527
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,12,0,0.0,0,0,3663.0541532790794
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,1,0,0.0,0,0,3337.118848888889
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,2,0,0.0,0,0,3846.7003967019996
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,3,0,0.0,0,0,4022.0271916738175
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,4,0,0.0,0,0,4528.868443750803
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,5,0,0.0,0,1,5037.54052888889
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,6,2,736.1062659465101,0,9,4507.705536979771
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,7,0,0.0,0,16,4331.440306666666
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,8,0,0.0,0,4,4613.702465661824
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,9,0,0.0,2,13,4961.050995555555
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,10,0,0.0,0,12,5207.447626468436
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,11,0,0.0,0,6,4935.462826666667
CCOR_V2_DET_SHIELD_m150_STRUCTURED_HIGH,structured_high,12,0,0.0,0,0,4224.422026666666
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,1,0,0.0,0,0,3337.118848888889
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,2,0,0.0,0,0,3400.9766402246105
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,3,0,0.0,0,8,3427.404214950713
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,4,0,0.0,1,50,3771.345121034249
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,5,1,149.99999999999955,0,91,4010.4501952148444
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,6,3,1437.4094290215817,0,8,4942.179118414304
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,7,0,0.0,0,91,4294.4716164868005
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,8,0,0.0,0,44,4335.550838243229
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,9,3,989.4941495087959,1,43,4970.998475710909
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,10,3,900.2862566883258,0,19,4888.916106174045
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,11,0,0.0,0,44,3586.3914287936745
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,12,0,0.0,0,0,3641.1391048611113
