case,load_profile_name,month_id,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,monthly_peak_kw,oc_hours,risk0_hours,shield_slack_positive_hours,first_step_charging_near_risk_hours
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,1,3.081546884261989,0.06288591720000007,0.2190418985313967,3494.844,11,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,2,3.3119153525430525,0.24653207813195277,0.19300812579982937,3909.0398314998056,13,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,3,4.452732612378839,0.2523501583528971,0.20141695827732614,3920.659724092065,46,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,4,4.756135821933149,0.5396700019302416,0.21148479316796304,4494.4960404039175,67,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,5,6.85566930988663,0.8598943401706662,0.1706883455724353,4698.558768888888,93,40,0,14
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,6,7.810444883593818,0.6143900787093336,0.13263448494690666,4332.571497777778,82,51,0,13
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,7,7.819738275379804,0.33919344360482245,0.145329797964,3922.3201037638974,45,103,0,26
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,8,6.989103758235449,0.35529877380243785,0.1374792171486263,3946.329242400772,34,15,0,2
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,9,9.004827945308804,0.8065336938186666,0.14042379835431248,4619.010995555555,146,13,0,1
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,10,7.394442054092651,1.0296688466108328,0.184284640082839,4951.651354518236,131,108,0,30
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,11,5.076257131402031,0.6410774603560001,0.1998003718323427,4697.027413333333,82,12,0,5
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,12,4.411130465761406,0.31051542272133326,0.21395451531299994,4036.8276177777775,48,0,0,0
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,1,3.083002083683213,0.013598100779695569,0.2175096760000956,3347.1872701608613,3,0,0,0
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,2,3.3169603266502583,0.09321993198741983,0.19025256780898422,3585.7188196147986,8,0,0,0
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,3,4.493392333356597,0.08590773004955804,0.18900404504383778,3563.8128821137147,41,27,0,8
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,4,4.818477656852661,0.1664713468062395,0.18834214792541903,3749.1422254967833,47,88,0,30
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,5,6.884785830219051,0.5893956485267728,0.16025422168108,4295.310868406042,93,184,0,42
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,6,7.820789029121395,0.5029233192764563,0.1322933410597797,4166.401611920775,99,194,0,48
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,7,7.820451739336492,0.32885521011200014,0.14513440138850112,3906.9083066666667,63,361,0,95
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,8,6.989158358858355,0.46007280588603994,0.1383950096061569,4102.521896073405,69,180,0,49
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,9,9.01732799420175,0.6863046580346663,0.13951918432777868,4439.7786822222215,155,410,0,89
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,10,7.421489334944856,0.7430257117863721,0.1758774911041442,4524.3360074334705,141,168,0,42
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,11,5.106630276688416,0.4737206090205022,0.18910938470041327,4362.78165472439,74,16,0,6
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,12,4.4539009129354765,0.08545216888998848,0.19943180275967398,3562.4481093169215,27,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,1,3.0876814468623466,0.0,0.2166491036410518,3281.4455801438944,0,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,2,3.3175825105507797,0.21266175918471122,0.19058403943619537,3841.393897912345,7,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,3,4.4694911331899005,0.20029994149374705,0.19592537045979638,3816.7048272293728,45,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,4,4.766192414810175,0.41141049132602747,0.20903651210640692,4238.335643750804,62,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,5,6.859990481563654,0.8598943401706662,0.16931083752322731,4698.558768888888,91,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,6,7.814287180263926,0.39515899612800026,0.13236977070362,4005.7511600000003,77,9,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,7,7.829291173238853,0.32885521011200014,0.14530270284012578,3906.9083066666667,36,10,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,8,6.992578799323544,0.385533965483842,0.13722564876251814,3991.402575259156,39,2,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,9,9.007698324910676,0.8065336938186666,0.14004794464969875,4619.010995555555,145,5,0,1
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,10,7.3984744803501545,0.9570243942190277,0.18385724126829225,4843.356106468437,130,5,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,11,5.081165203013024,0.60322576874,0.19840404502919787,4621.429866666666,79,0,0,0
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,12,4.412561214658078,0.2912515354279999,0.21350694869210401,3998.3537066666663,44,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,1,3.0910812602651827,0.0,0.21532058283517372,3197.1872701608613,0,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,2,3.3320093998550315,0.031552881009951295,0.18510018523340266,3400.976306201172,2,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,3,4.520282329894419,0.02660264440907926,0.17927416535014096,3386.146358325582,3,2,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,4,4.820277406088642,0.15646029150800025,0.18835612647379807,3729.148106666667,46,1,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,5,6.913865320979036,0.3739577359395482,0.15346632389821255,3974.145226504991,82,37,0,2
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,6,7.82547921831469,0.304238049015239,0.13218738620435272,3870.2100939404277,91,23,2,1
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,7,7.83966504220528,0.40074619855169813,0.14294309681112705,4014.0803228260256,41,44,0,1
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,8,6.992523778552646,0.17127428595030342,0.13677086626135523,3671.99339288954,67,21,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,9,9.037211668060891,0.6865341892335906,0.1379309113889163,4440.120857533677,149,35,2,1
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,10,7.429426833078212,0.6992347520643889,0.1773308898057138,4459.054314347628,135,16,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,11,5.180074235658153,0.09324106802765883,0.16443428781152378,3585.7821390882527,50,7,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,12,4.44230220344749,0.12336704904683515,0.2037949663829693,3663.0541532790794,30,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,1,3.414087336779477,0.11147409082086145,0.21883414503417345,3639.3014905549458,14,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,2,3.6635049511435085,0.2991735207424779,0.19086611113779883,4014.175526747509,22,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,3,4.925896998891253,0.3444938375387424,0.20071616302394513,4104.68944086028,58,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,4,5.268241693747086,0.6911842252902423,0.2108480675526738,4797.1008404039185,97,0,0,0
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,5,7.7549023207452334,1.0872833047786674,0.1685768174254524,5037.54052888889,148,64,0,22
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,6,8.97019937792363,0.8202116427093334,0.1323137295395169,4639.401497777778,144,53,0,13
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,7,8.990852849860694,0.6136312757119999,0.14532979796399997,4331.440306666666,123,122,0,36
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,8,8.06706346956361,0.8209114540375035,0.13778145605033632,4640.444746627167,80,46,0,12
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,9,10.33054506916444,1.0808775341025296,0.14075583120788285,5027.991079461135,237,37,0,10
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,10,8.33246032844808,1.3756944049365265,0.18502847976484138,5467.491483208894,191,136,0,36
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,11,5.5824389824938345,0.7954527235720004,0.19963410416420801,5005.346293333334,102,14,0,5
MPC_DET_PVFOCUS_STRUCTURED_HIGH,structured_high,12,4.858832755176557,0.41979908595333326,0.21371297943317338,4255.089377777777,62,0,0,0
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,1,3.4225340366538073,0.010237261759111145,0.2145258123570348,3337.118848888889,3,0,0,0
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,2,3.6800739984598443,0.14013222564663688,0.18635066235139855,3696.537629611817,10,0,0,0
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_HIGH,structured_high,3,4.992837074371117,0.16796124450608885,0.17824018051174928,3752.1178550151562,45,66,0,23
