case,load_profile_name,month_id,monthly_peak_kw
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,1,3494.844
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,2,3909.0398314998056
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,3,3920.659724092065
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,4,4494.4960404039175
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,5,4698.558768888888
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,6,4332.571497777778
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,7,3922.3201037638974
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,8,3946.329242400772
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,9,4619.010995555555
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,10,4951.651354518236
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,11,4697.027413333333
MPC_DET_PVFOCUS_STRUCTURED_LOW,structured_low,12,4036.8276177777775
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,1,3347.1872701608613
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,2,3585.7188196147986
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,3,3563.8128821137147
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,4,3749.1422254967833
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,5,4295.310868406042
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,6,4166.401611920775
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,7,3906.9083066666667
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,8,4102.521896073405
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,9,4439.7786822222215
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,10,4524.3360074334705
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,11,4362.78165472439
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5_STRUCTURED_LOW,structured_low,12,3562.4481093169215
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,1,3281.4455801438944
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,2,3841.393897912345
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,3,3816.7048272293728
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,4,4238.335643750804
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,5,4698.558768888888
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,6,4005.7511600000003
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,7,3906.9083066666667
CCOR_V2_DET_SHIELD_m150_STRUCTURED_LOW,structured_low,8,3991.402575259156
