load_profile_name,month_id,monthly_kwh,monthly_peak_kw,oc_risk_hours_gt_CC,near_oc_hours_gt_095CC
base,1,1144113.0,2354.0,0,0
base,2,1167848.0,2625.0,0,0
base,3,1580384.0,4135.0,17,30
base,4,1668503.0,4566.0,73,110
base,5,2042449.0,4875.0,180,222
base,6,2106022.0,4932.0,221,242
base,7,2073682.0,4596.0,208,235
base,8,1992255.0,4397.0,195,221
base,9,2277413.0,5179.0,287,317
base,10,2087945.0,5095.0,182,218
base,11,1656632.0,4018.0,49,70
base,12,1471192.0,3109.0,0,0
structured_low,1,1101986.8900000001,2259.8399999999997,0,0
structured_low,2,1124358.74,2520.0,0,0
structured_low,3,1521333.23,3969.6,10,20
structured_low,4,1605898.08,4383.36,55,79
structured_low,5,1951921.8199999998,4631.25,153,180
structured_low,6,2000338.5999999999,4685.4,190,214
structured_low,7,1969587.7,4366.2,175,202
structured_low,8,1892181.37,4177.15,163,190
structured_low,9,2162055.83,4920.05,245,279
structured_low,10,1995283.73,4840.25,149,185
structured_low,11,1594483.84,3857.2799999999997,35,54
structured_low,12,1416241.0999999999,2984.64,0,0
structured_high,1,1186239.1099999999,2448.1600000000003,0,0
structured_high,2,1211337.26,2730.0,0,0
structured_high,3,1639434.77,4300.400000000001,27,44
structured_high,4,1731107.92,4748.64,108,142
structured_high,5,2132976.18,5118.75,220,257
structured_high,6,2211705.4,5178.6,245,288
structured_high,7,2177776.3,4825.8,239,263
structured_high,8,2092328.6300000001,4616.85,224,253
structured_high,9,2392770.17,5437.95,321,354
structured_high,10,2180606.2700000005,5349.75,211,245
structured_high,11,1718780.16,4178.72,69,89
structured_high,12,1526142.9000000001,3233.36,0,9
