approach,subset,n,raw_picp80,raw_picp90,raw_mpiw80,raw_mpiw90,cal_picp80,cal_picp90,cal_mpiw80,cal_mpiw90,q50_rmse,mean_pinball,crps,n_crossings,n_clipped_neg
Q1_D24_raw,Overall,101688,74.45,92.44,278.49,521.26,74.45,92.44,278.49,521.26,139.66,30.86,61.72,0,0
Q1_D24_raw,H01-H03,12711,77.08,93.25,216.15,480.42,77.08,93.25,216.15,480.42,109.27,23.752,47.504,0,0
Q1_D24_raw,H04-H06,12711,74.45,92.57,270.99,518.0,74.45,92.57,270.99,518.0,134.96,30.086,60.171,0,0
Q1_D24_raw,H07-H12,25422,74.09,92.27,286.28,527.76,74.09,92.27,286.28,527.76,142.57,31.702,63.404,0,0
Q1_D24_raw,H13-H24,50844,73.97,92.29,292.06,529.03,73.97,92.29,292.06,529.03,145.97,32.409,64.818,0,0
Q1_D24_raw,Daytime_All,101688,74.45,92.44,278.49,521.26,74.45,92.44,278.49,521.26,139.66,30.86,61.72,0,0
Q1_D24_raw,Top10pct_GHI,10248,64.77,100.0,445.22,714.89,64.77,100.0,445.22,714.89,180.62,45.983,91.965,0,0
Q1_D24_raw,Top5pct_GHI,5184,54.82,100.0,448.73,721.82,54.82,100.0,448.73,721.82,191.61,49.866,99.732,0,0
Q1_D24_raw,Summer,46464,75.74,93.61,326.44,533.52,75.74,93.61,326.44,533.52,156.09,35.344,70.689,0,0
Q1_D24_raw,TOU_1621,18912,76.52,95.14,170.39,233.67,76.52,95.14,170.39,233.67,87.38,18.177,36.354,0,0
Q1_D24_raw,High_Ramp,10173,75.11,93.12,289.29,483.8,75.11,93.12,289.29,483.8,145.26,31.921,63.843,0,0
Q1_D24_raw,Cloudy_lt03,67852,74.13,92.17,275.06,537.57,74.13,92.17,275.06,537.57,138.31,30.538,61.076,0,0
Q1_D24_raw,Clear_gt07,19081,75.06,92.83,270.11,462.25,75.06,92.83,270.11,462.25,141.43,30.377,60.755,0,0
Q2_LG_raw,Overall,101688,75.05,92.67,281.74,519.62,75.05,92.67,281.74,519.62,139.83,30.879,61.758,0,0
Q2_LG_raw,H01-H03,12711,77.86,93.34,223.26,481.47,77.86,93.34,223.26,481.47,109.93,24.034,48.068,0,0
Q2_LG_raw,H04-H06,12711,74.68,92.51,272.02,515.86,74.68,92.51,272.02,515.86,135.48,30.244,60.487,0,0
Q2_LG_raw,H07-H12,25422,73.92,92.33,287.58,524.84,73.92,92.33,287.58,524.84,142.85,31.805,63.611,0,0
Q2_LG_raw,H13-H24,50844,75.01,92.72,295.88,527.48,75.01,92.72,295.88,527.48,145.91,32.286,64.572,0,0
Q2_LG_raw,Daytime_All,101688,75.05,92.67,281.74,519.62,75.05,92.67,281.74,519.62,139.83,30.879,61.758,0,0
Q2_LG_raw,Top10pct_GHI,10248,63.81,100.0,447.25,706.32,63.81,100.0,447.25,706.32,181.04,45.742,91.484,0,0
Q2_LG_raw,Top5pct_GHI,5184,53.01,100.0,451.43,715.24,53.01,100.0,451.43,715.24,193.06,49.608,99.216,0,0
Q2_LG_raw,Summer,46464,76.32,93.73,329.28,533.06,76.32,93.73,329.28,533.06,155.33,35.212,70.424,0,0
Q2_LG_raw,TOU_1621,18912,76.99,95.57,173.98,234.95,76.99,95.57,173.98,234.95,87.33,18.239,36.479,0,0
Q2_LG_raw,High_Ramp,10173,75.61,93.2,293.95,483.3,75.61,93.2,293.95,483.3,145.41,32.068,64.137,0,0
Q2_LG_raw,Cloudy_lt03,67852,74.61,92.34,278.16,535.34,74.61,92.34,278.16,535.34,138.52,30.545,61.091,0,0
Q2_LG_raw,Clear_gt07,19081,75.85,93.16,275.97,462.74,75.85,93.16,275.97,462.74,141.6,30.469,60.938,0,0
Q3_Residual_raw,Overall,101688,83.78,91.69,316.96,421.35,83.78,91.69,316.96,421.35,136.18,33.586,67.172,0,0
Q3_Residual_raw,H01-H03,12711,85.74,93.2,267.28,372.1,85.74,93.2,267.28,372.1,108.97,26.378,52.757,0,0
Q3_Residual_raw,H04-H06,12711,83.71,91.62,311.93,412.43,83.71,91.62,311.93,412.43,132.04,32.831,65.662,0,0
Q3_Residual_raw,H07-H12,25422,84.27,91.42,325.93,425.76,84.27,91.42,325.93,425.76,138.46,34.312,68.625,0,0
Q3_Residual_raw,H13-H24,50844,83.05,91.47,326.16,433.69,83.05,91.47,326.16,433.69,142.04,35.214,70.427,0,0
Q3_Residual_raw,Daytime_All,101688,83.78,91.69,316.96,421.35,83.78,91.69,316.96,421.35,136.18,33.586,67.172,0,0
Q3_Residual_raw,Top10pct_GHI,10248,57.98,75.2,366.39,511.28,57.98,75.2,366.39,511.28,196.9,58.278,116.555,0,0
Q3_Residual_raw,Top5pct_GHI,5184,50.25,70.02,366.39,511.29,50.25,70.02,366.39,511.29,212.15,64.579,129.157,0,0
Q3_Residual_raw,Summer,46464,79.37,88.96,328.72,442.38,79.37,88.96,328.72,442.38,152.17,38.418,76.836,0,0
Q3_Residual_raw,TOU_1621,18912,93.87,97.74,285.13,364.56,93.87,97.74,285.13,364.56,85.41,21.733,43.465,0,0
Q3_Residual_raw,High_Ramp,10173,81.19,90.58,329.26,447.46,81.19,90.58,329.26,447.46,142.53,35.822,71.644,0,0
Q3_Residual_raw,Cloudy_lt03,67852,84.79,92.05,313.98,413.22,84.79,92.05,313.98,413.22,134.41,32.88,65.759,0,0
Q3_Residual_raw,Clear_gt07,19081,82.65,91.55,327.47,445.9,82.65,91.55,327.47,445.9,138.61,34.422,68.844,0,0
Q1_D24_cal,Overall,101688,74.45,92.44,278.49,521.26,79.81,89.75,305.79,544.44,139.66,30.86,61.72,0,0
Q1_D24_cal,H01-H03,12711,77.08,93.25,216.15,480.42,79.8,89.76,230.24,494.26,109.27,23.752,47.504,0,0
Q1_D24_cal,H04-H06,12711,74.45,92.57,270.99,518.0,79.76,89.72,296.74,543.96,134.96,30.086,60.171,0,0
Q1_D24_cal,H07-H12,25422,74.09,92.27,286.28,527.76,79.9,89.87,315.57,544.91,142.57,31.702,63.404,0,0
Q1_D24_cal,H13-H24,50844,73.97,92.29,292.06,529.03,79.78,89.71,322.06,556.87,145.97,32.409,64.818,0,0
Q1_D24_cal,Daytime_All,101688,74.45,92.44,278.49,521.26,79.81,89.75,305.79,544.44,139.66,30.86,61.72,0,0
Q1_D24_cal,Top10pct_GHI,10248,64.77,100.0,445.22,714.89,74.51,98.17,492.27,742.87,180.62,45.983,91.965,0,0
Q1_D24_cal,Top5pct_GHI,5184,54.82,100.0,448.73,721.82,68.71,99.48,500.69,749.26,191.61,49.866,99.732,0,0
Q1_D24_cal,Summer,46464,75.74,93.61,326.44,533.52,80.04,89.92,354.14,549.22,156.09,35.344,70.689,0,0
Q1_D24_cal,TOU_1621,18912,76.52,95.14,170.39,233.67,79.27,84.33,186.28,242.8,87.38,18.177,36.354,0,0
Q1_D24_cal,High_Ramp,10173,75.11,93.12,289.29,483.8,79.84,89.11,317.99,498.06,145.26,31.921,63.843,0,0
Q1_D24_cal,Cloudy_lt03,67852,74.13,92.17,275.06,537.57,80.22,90.07,303.41,564.12,138.31,30.538,61.076,0,0
Q1_D24_cal,Clear_gt07,19081,75.06,92.83,270.11,462.25,79.06,88.44,296.7,476.46,141.43,30.377,60.755,0,0
Q2_LG_cal,Overall,101688,75.05,92.67,281.74,519.62,79.81,89.74,306.85,545.38,139.83,30.879,61.758,0,0
Q2_LG_cal,H01-H03,12711,77.86,93.34,223.26,481.47,79.79,89.75,235.8,495.12,109.93,24.034,48.068,0,0
Q2_LG_cal,H04-H06,12711,74.68,92.51,272.02,515.86,79.77,89.69,297.23,537.68,135.48,30.244,60.487,0,0
Q2_LG_cal,H07-H12,25422,73.92,92.33,287.58,524.84,79.9,89.86,316.82,550.14,142.85,31.805,63.611,0,0
Q2_LG_cal,H13-H24,50844,75.01,92.72,295.88,527.48,79.79,89.7,322.04,557.48,145.91,32.286,64.572,0,0
Q2_LG_cal,Daytime_All,101688,75.05,92.67,281.74,519.62,79.81,89.74,306.85,545.38,139.83,30.879,61.758,0,0
Q2_LG_cal,Top10pct_GHI,10248,63.81,100.0,447.25,706.32,73.71,98.02,490.79,731.21,181.04,45.742,91.484,0,0
Q2_LG_cal,Top5pct_GHI,5184,53.01,100.0,451.43,715.24,67.34,99.29,499.88,738.9,193.06,49.608,99.216,0,0
Q2_LG_cal,Summer,46464,76.32,93.73,329.28,533.06,79.97,89.88,353.06,548.78,155.33,35.212,70.424,0,0
Q2_LG_cal,TOU_1621,18912,76.99,95.57,173.98,234.95,78.69,84.45,188.38,245.11,87.33,18.239,36.479,0,0
Q2_LG_cal,High_Ramp,10173,75.61,93.2,293.95,483.3,79.99,89.56,320.7,497.35,145.41,32.068,64.137,0,0
Q2_LG_cal,Cloudy_lt03,67852,74.61,92.34,278.16,535.34,80.14,89.96,304.63,565.83,138.52,30.545,61.091,0,0
Q2_LG_cal,Clear_gt07,19081,75.85,93.16,275.97,462.74,79.47,88.44,300.9,477.0,141.6,30.469,60.938,0,0
