subset,n,rmse_vs_formula,mae_vs_formula,mbe_vs_formula,r2_vs_formula,n_realized,rmse_vs_realized,mae_vs_realized,mbe_vs_realized,r2_vs_realized
Overall,101688,292.73,197.07,-2.46,0.7757,101688,390.61,266.62,-57.71,0.6757
H01-H03,12711,234.24,150.55,-0.07,0.8564,12711,351.66,229.4,-55.32,0.7372
H04-H06,12711,283.85,193.29,-4.55,0.7891,12711,383.33,262.14,-59.8,0.6877
H07-H12,25422,297.64,201.58,-2.43,0.7681,25422,392.96,269.14,-57.68,0.6718
H13-H24,50844,305.33,207.39,-2.55,0.756,50844,400.37,275.78,-57.8,0.6593
Summer_Day,46464,327.13,226.58,-10.8,0.7552,46464,364.17,259.79,-37.19,0.7419
TOU_1621,18912,183.64,120.19,-11.83,0.6527,18912,241.06,166.11,-45.38,0.4913
HighPV_Top10pct,10248,423.81,347.94,-343.36,-7.0988,10248,531.65,467.24,-427.9,-1.9302
HighPV_Top5pct,5184,456.63,384.7,-382.99,-23.1737,5184,563.62,510.02,-478.77,-3.2426
LowPV_lt100kW,18168,167.82,72.68,67.66,-31.5249,18168,196.16,95.45,46.06,-1.0993
HighRamp_P90,10176,379.65,278.29,-40.68,0.4745,10176,417.06,321.94,-84.53,0.4566
