subset,n,raw_picp80,raw_picp90,raw_mpiw80,raw_mpiw90,cal_picp80,cal_picp90,cal_mpiw80,cal_mpiw90,q50_rmse_kw,mean_pinball,q05_coverage,q10_coverage,overforecast_rate,underforecast_rate,n_neg_q05,n_clip_cap
Overall,101688,75.05,92.67,605.64,1116.97,79.81,89.74,659.61,1170.5,300.57,66.378,92.67,87.25,49.82,50.15,0,0
H01-H03,12711,77.86,93.34,479.93,1034.96,79.79,89.75,506.87,1063.86,236.3,51.664,93.34,88.59,50.51,49.47,0,0
H04-H06,12711,74.68,92.51,584.74,1108.89,79.77,89.69,638.92,1154.67,291.22,65.012,92.51,86.76,49.93,50.03,0,0
H07-H12,25422,73.92,92.33,618.18,1128.2,79.9,89.86,681.04,1180.47,307.07,68.369,92.33,86.64,49.78,50.15,0,0
H13-H24,50844,75.01,92.72,636.01,1133.87,79.79,89.7,692.25,1196.13,313.66,69.402,92.72,87.34,49.64,50.35,0,0
Daytime_All,101688,75.05,92.67,605.64,1116.97,79.81,89.74,659.61,1170.5,300.57,66.378,92.67,87.25,49.82,50.15,0,0
Summer_Day,46464,76.32,93.73,707.81,1145.86,79.97,89.88,758.93,1177.89,333.89,75.692,93.73,89.58,47.13,52.87,0,0
TOU_1621,18912,76.99,95.57,373.98,505.06,78.69,84.45,404.95,526.89,187.73,39.208,95.57,90.15,46.67,53.33,0,0
HighPV_Top10pct,10248,63.81,100.0,961.41,1518.31,73.71,98.02,1055.01,1567.99,389.16,98.326,100.0,99.93,10.83,89.17,0,0
HighPV_Top5pct,5184,53.01,100.0,970.39,1537.47,67.34,99.29,1074.55,1583.53,415.0,106.638,100.0,99.96,7.95,92.05,0,0
LowPV_lt100kW,18168,63.75,79.66,173.66,470.2,71.17,77.97,189.48,491.74,179.25,26.069,79.66,68.42,70.0,29.83,0,0
HighRamp_P90,10176,71.5,95.11,778.16,1158.99,72.62,88.12,845.49,1209.96,399.49,93.26,95.11,90.4,40.43,59.57,0,0
