label,n,rmse_ghi,mae_ghi,mbe_ghi,r2_ghi
PERS|Daytime_All,101688,341.99134156993955,234.08864552150052,-162.57949514702938,-0.414639959019913
PERS|Top10pct_GHI,10248,669.7390769073446,569.5753600113717,-537.2049872124725,-92.45407470156887
PERS|Top5pct_GHI,5184,707.8550101992288,599.794739575272,-571.4862270966586,-267.4271282823799
PERS|Summer_Daytime,46464,383.8403818904035,271.83468484683794,-185.07881394189005,-0.5571131165715084
PERS|High_Ramp_Hours,10173,276.2657978728967,190.12301511093298,21.04951639587641,0.22764538265323309
PERS|Cloudy_CSI_lt03,67852,383.7486805384002,268.21040488049556,-263.9834535801951,-0.9545013168045953
PERS|Clear_CSI_gt07,19081,254.9911266604869,174.3745064610774,122.54173715777753,0.33027875755280023
PERS|TOU_Peak_1621,18912,169.26723365888594,113.5354589404329,-86.68786365455581,-0.3634672494814748
DA|Daytime_All,101688,340.6021077106463,254.3799331806245,-189.64019109595432,-0.40317022952775106
DA|Top10pct_GHI,10248,702.5659268578421,690.6411190397007,-690.6411190397007,-101.83977798224662
DA|Top5pct_GHI,5184,744.6554465146055,736.5194682592844,-736.5194682592844,-296.0629743961792
DA|Summer_Daytime,46464,385.8875916653706,298.8200890849952,-223.3888244782765,-0.5737671125025412
DA|High_Ramp_Hours,10173,409.8146351149845,326.1131419997052,-248.20912649257096,-0.6995636375441252
DA|Cloudy_CSI_lt03,67852,316.115041924897,230.66072163899224,-169.11301180563333,-0.3262716923667994
DA|Clear_CSI_gt07,19081,412.8476140372158,329.1665595997511,-255.19984075943262,-0.7555916097560154
DA|TOU_Peak_1621,18912,212.64964605636266,155.5835527934327,-155.5835527934327,-1.1519305242081233
P1_XGB_LG|Daytime_All,101688,136.94898795656607,92.15907477187909,-1.3900792669901822,0.7731528360857765
P1_XGB_LG|Top10pct_GHI,10248,199.6390433689076,164.72143153247998,-162.62576009494018,-7.303819946264927
P1_XGB_LG|Top5pct_GHI,5184,216.12053777440616,183.28346833306625,-182.62168995801682,-24.022451926679324
P1_XGB_LG|Summer_Daytime,46464,152.7813952818453,106.02530109684474,-6.224945678265981,0.7533053214203664
P1_XGB_LG|High_Ramp_Hours,10173,143.7510877133383,98.69603661517421,-7.2263197405260575,0.7908851944466474
P1_XGB_LG|Cloudy_CSI_lt03,67852,135.19622074885868,90.20159484825597,0.3885725940589479,0.7574109017893681
P1_XGB_LG|Clear_CSI_gt07,19081,139.88652461536802,94.13959583998846,-5.952748938358033,0.7984440145052081
P1_XGB_LG|TOU_Peak_1621,18912,85.14603534408828,55.893909576784445,-5.675999751661904,0.6549931015568328
P2_CB_LG|Daytime_All,101688,136.78319243988813,93.03588211322409,-0.23653450720679645,0.773701762764718
P2_CB_LG|Top10pct_GHI,10248,196.22594252849913,163.42043041304726,-161.4645694090394,-7.022316851696253
P2_CB_LG|Top5pct_GHI,5184,211.28342856040024,180.33946019562248,-179.74279462991336,-22.914904771822734
P2_CB_LG|Summer_Daytime,46464,153.07249518603447,106.95964123483819,-2.760753401624054,0.7523643533015374
P2_CB_LG|High_Ramp_Hours,10173,142.8046381083673,99.27532750602111,-6.311058471624512,0.7936297314365169
P2_CB_LG|Cloudy_CSI_lt03,67852,135.2252678272477,91.27063418482038,1.599831564951491,0.7573066494443217
P2_CB_LG|Clear_CSI_gt07,19081,138.9534084306929,94.6938991272851,-5.319356571017743,0.8011240134965123
P2_CB_LG|TOU_Peak_1621,18912,85.85422945983096,57.33893688479469,-4.055697716934829,0.6492301095877016
G1_LGBM_LG|Daytime_All,101688,137.53661786966464,92.64429391665065,-0.8972082652654254,0.7712019173943496
G1_LGBM_LG|Top10pct_GHI,10248,198.00690417903988,162.3920518645859,-160.06650613479587,-7.168600013025568
G1_LGBM_LG|Top5pct_GHI,5184,213.5951168042432,179.00450173631086,-178.1293315571795,-23.441081759636035
G1_LGBM_LG|Summer_Daytime,46464,152.98067808080617,105.74527362884207,-5.178458672349749,0.7526613415881293
G1_LGBM_LG|High_Ramp_Hours,10173,143.99090193105312,98.47325068874059,-6.489959896120588,0.790186896648033
G1_LGBM_LG|Cloudy_CSI_lt03,67852,135.92814196620242,90.87851497019518,0.9182219897733389,0.7547771487001383
G1_LGBM_LG|Clear_CSI_gt07,19081,140.06689354152417,93.92801394535093,-5.091158392582179,0.7979239090215556
G1_LGBM_LG|TOU_Peak_1621,18912,85.5890189622579,56.189949928681365,-5.599446387174743,0.6513938742048704
G2_LGBM_D24|Daytime_All,101688,136.78277205146878,92.12860879570994,-0.7018759525162558,0.7737031537691297
G2_LGBM_D24|Top10pct_GHI,10248,196.4835433461257,161.12905778133967,-159.06333800325504,-7.043393696239239
G2_LGBM_D24|Top5pct_GHI,5184,211.46475342151084,177.27682179155454,-176.49836682428452,-22.95597025022178
G2_LGBM_D24|Summer_Daytime,46464,153.02848373757914,105.8612997709163,-4.469487927631012,0.7525067333767239
G2_LGBM_D24|High_Ramp_Hours,10173,142.85039006792942,97.45486820805108,-5.2217827731641036,0.7934974758346937
G2_LGBM_D24|Cloudy_CSI_lt03,67852,135.15683416600172,90.40788020221382,0.738124527009191,0.7575522276899761
G2_LGBM_D24|Clear_CSI_gt07,19081,138.72013575799005,92.90652426543622,-3.5879786472657353,0.801791192403354
G2_LGBM_D24|TOU_Peak_1621,18912,85.3927892257436,55.9151359429408,-4.9835081599087285,0.6529905386108196
G3_LGBM_Pool|Daytime_All,101688,139.20808079500875,94.68432207954366,-1.1161161602403007,0.7656070247473382
G3_LGBM_Pool|Top10pct_GHI,10248,202.67979069940014,168.30469238927247,-166.05688751704668,-7.55870106316752
G3_LGBM_Pool|Top5pct_GHI,5184,219.42331289509906,186.5421625812663,-185.50894702787542,-24.793086830630642
G3_LGBM_Pool|Summer_Daytime,46464,154.6332296684086,107.48887617853286,-6.511176633174471,0.747288799454129
G3_LGBM_Pool|High_Ramp_Hours,10173,145.91668764439413,100.97152062331492,-8.489044863823837,0.7845371360054415
G3_LGBM_Pool|Cloudy_CSI_lt03,67852,137.38911041707905,92.57972190966909,2.08366428912558,0.7494774636552635
G3_LGBM_Pool|Clear_CSI_gt07,19081,142.24886549805962,97.20503257945266,-8.591358534558669,0.7915789587224671
G3_LGBM_Pool|TOU_Peak_1621,18912,86.54665917085438,57.56825803817472,-5.663604927394701,0.6435492492552395
W1_XGB_D24|Daytime_All,101688,136.17852137196218,91.67885635336728,-1.1442065664946217,0.7756981124929936
W1_XGB_D24|Top10pct_GHI,10248,197.15879960441316,161.86178851561357,-159.7330800951266,-7.098774262160166
W1_XGB_D24|Top5pct_GHI,5184,212.42347228660913,178.96277010848763,-178.16794300049847,-23.173681269524938
W1_XGB_D24|Summer_Daytime,46464,152.1840226341533,105.40441966691398,-5.02608500699154,0.7552306939250986
