model,n,n_negative,pct_negative,n_above_cs,pct_above_cs,n_above_15cs,pct_above_15cs
PERS,101688,0,0.0,7856,7.726,0,0.0
DA,101688,0,0.0,14328,14.09,0,0.0
P1_XGB_LG,101688,0,0.0,6743,6.631,0,0.0
P2_CB_LG,101688,0,0.0,5921,5.823,0,0.0
G1_LGBM_LG,101688,0,0.0,6804,6.691,0,0.0
G2_LGBM_D24,101688,0,0.0,6865,6.751,0,0.0
G3_LGBM_Pool,101688,0,0.0,6204,6.101,0,0.0
W1_XGB_D24,101688,0,0.0,6885,6.771,0,0.0
W2_XGB_Pool,101688,0,0.0,6422,6.315,0,0.0
W3_CB_D24,101688,0,0.0,6058,5.957,0,0.0
W4_CB_Pool,101688,0,0.0,5278,5.19,0,0.0
W5_XGB_LG_Reg,101688,0,0.0,6771,6.659,0,0.0
W6_CB_LG_Reg,101688,0,0.0,5918,5.82,0,0.0
