model,regime_id,regime_label,n,rmse,mae,mbe
PERS,0,Clear (CSI≥0.7),28212,238.82,166.68,68.27
PERS,1,Partly Cloudy,66906,363.95,250.47,-241.04
PERS,2,Overcast (CSI<0.3),6570,465.22,356.73,-354.81
DA,0,Clear (CSI≥0.7),28212,394.95,312.13,-239.48
DA,1,Partly Cloudy,66906,311.37,226.88,-166.13
DA,2,Overcast (CSI<0.3),6570,372.05,286.42,-215.03
P1_XGB_LG,0,Clear (CSI≥0.7),28212,140.72,96.13,-5.91
P1_XGB_LG,1,Partly Cloudy,66906,134.36,89.7,0.83
P1_XGB_LG,2,Overcast (CSI<0.3),6570,146.39,100.16,-4.57
P2_CB_LG,0,Clear (CSI≥0.7),28212,140.03,96.67,-5.0
P2_CB_LG,1,Partly Cloudy,66906,134.44,90.7,1.99
P2_CB_LG,2,Overcast (CSI<0.3),6570,146.02,101.27,-2.49
G1_LGBM_LG,0,Clear (CSI≥0.7),28212,141.0,96.16,-5.37
G1_LGBM_LG,1,Partly Cloudy,66906,135.08,90.35,1.34
G1_LGBM_LG,2,Overcast (CSI<0.3),6570,146.94,100.87,-4.54
G2_LGBM_D24,0,Clear (CSI≥0.7),28212,140.13,95.59,-4.13
G2_LGBM_D24,1,Partly Cloudy,66906,134.36,89.88,0.99
G2_LGBM_D24,2,Overcast (CSI<0.3),6570,146.35,100.16,-3.25
G3_LGBM_Pool,0,Clear (CSI≥0.7),28212,143.09,99.07,-8.49
G3_LGBM_Pool,1,Partly Cloudy,66906,136.64,92.08,2.43
G3_LGBM_Pool,2,Overcast (CSI<0.3),6570,147.96,102.38,-5.56
W1_XGB_D24,0,Clear (CSI≥0.7),28212,139.93,95.43,-4.37
W1_XGB_D24,1,Partly Cloudy,66906,133.58,89.31,0.49
W1_XGB_D24,2,Overcast (CSI<0.3),6570,145.72,99.73,-3.93
W2_XGB_Pool,0,Clear (CSI≥0.7),28212,142.22,98.33,-8.95
W2_XGB_Pool,1,Partly Cloudy,66906,135.94,91.27,1.52
W2_XGB_Pool,2,Overcast (CSI<0.3),6570,146.91,101.16,-5.55
W3_CB_D24,0,Clear (CSI≥0.7),28212,140.26,96.45,-2.62
W3_CB_D24,1,Partly Cloudy,66906,134.63,90.93,1.43
W3_CB_D24,2,Overcast (CSI<0.3),6570,147.13,101.86,-2.21
W4_CB_Pool,0,Clear (CSI≥0.7),28212,143.57,99.99,-7.21
W4_CB_Pool,1,Partly Cloudy,66906,136.99,93.01,2.27
W4_CB_Pool,2,Overcast (CSI<0.3),6570,148.4,103.6,-3.5
W5_XGB_LG_Reg,0,Clear (CSI≥0.7),28212,140.27,95.96,-6.19
W5_XGB_LG_Reg,1,Partly Cloudy,66906,134.02,89.43,0.94
W5_XGB_LG_Reg,2,Overcast (CSI<0.3),6570,146.06,100.01,-4.7
W6_CB_LG_Reg,0,Clear (CSI≥0.7),28212,140.26,96.75,-4.58
W6_CB_LG_Reg,1,Partly Cloudy,66906,134.52,90.65,1.79
W6_CB_LG_Reg,2,Overcast (CSI<0.3),6570,145.94,101.24,-2.47
