profile,month_id,monthly_kwh,monthly_peak_kw,oc_risk_hours_gt_CC,near_oc_hours_gt_0p95CC
base,1,1144113.0,2354.0,0,0
base,2,1167848.0,2625.0,0,0
base,3,1580384.0,4135.0,21,35
base,4,1668503.0,4566.0,87,122
base,5,2042449.0,4875.0,194,227
base,6,2106022.0,4932.0,224,253
base,7,2073682.0,4596.0,221,244
base,8,1992255.0,4397.0,204,230
base,9,2277413.0,5179.0,304,323
base,10,2087945.0,5095.0,193,227
base,11,1656632.0,4018.0,55,76
base,12,1471192.0,3109.0,0,4
structured_low,1,1101986.8900000001,2259.8399999999997,0,0
structured_low,2,1124358.74,2520.0,0,0
structured_low,3,1521333.23,3969.6,15,24
structured_low,4,1605898.08,4383.36,60,93
structured_low,5,1951921.8199999998,4631.25,159,193
structured_low,6,2000338.5999999999,4685.4,197,222
structured_low,7,1969587.7,4366.2,187,211
structured_low,8,1892181.37,4177.15,172,198
structured_low,9,2162055.83,4920.05,254,299
structured_low,10,1995283.73,4840.25,162,194
structured_low,11,1594483.84,3857.2799999999997,40,61
structured_low,12,1416241.0999999999,2984.64,0,0
structured_high,1,1186239.1099999999,2448.1600000000003,0,0
structured_high,2,1211337.26,2730.0,0,0
structured_high,3,1639434.77,4300.400000000001,32,52
structured_high,4,1731107.92,4748.64,113,151
structured_high,5,2132976.18,5118.75,225,266
structured_high,6,2211705.4,5178.6,256,304
structured_high,7,2177776.3,4825.8,248,278
structured_high,8,2092328.6300000001,4616.85,234,266
structured_high,9,2392770.17,5437.95,328,359
structured_high,10,2180606.2700000005,5349.75,222,264
structured_high,11,1718780.16,4178.72,73,102
structured_high,12,1526142.9000000001,3233.36,2,15
uniform_low_5,1,1086907.35,2236.2999999999997,0,0
uniform_low_5,2,1109455.6,2493.75,0,0
uniform_low_5,3,1501364.7999999998,3928.25,13,21
uniform_low_5,4,1585077.85,4337.7,57,87
uniform_low_5,5,1940326.5499999998,4631.25,161,194
uniform_low_5,6,2000720.9,4685.4,204,224
uniform_low_5,7,1969997.9000000001,4366.2,190,221
uniform_low_5,8,1892642.25,4177.15,178,204
uniform_low_5,9,2163542.35,4920.05,257,304
uniform_low_5,10,1983547.75,4840.25,159,193
uniform_low_5,11,1573800.4,3817.1,36,55
uniform_low_5,12,1397632.4,2953.5499999999997,0,0
uniform_high_5,1,1201318.6500000001,2471.7000000000003,0,0
uniform_high_5,2,1226240.4,2756.25,0,0
uniform_high_5,3,1659403.2000000002,4341.75,34,53
uniform_high_5,4,1751928.1500000001,4794.3,121,152
uniform_high_5,5,2144571.45,5118.75,225,262
uniform_high_5,6,2211323.1000000006,5178.6,252,299
uniform_high_5,7,2177366.0999999996,4825.8,244,268
uniform_high_5,8,2091867.75,4616.85,228,262
uniform_high_5,9,2391283.65,5437.95,322,356
uniform_high_5,10,2192342.25,5349.75,224,261
uniform_high_5,11,1739463.6,4218.900000000001,74,109
uniform_high_5,12,1544751.6,3264.4500000000003,3,17
