mode,load_profile_name,bridge_type,k,issue_time,scenario_id,raw_scenario_id,medoid_type,scenario_weight,daily_max_netload_kw,lowpv_shortfall_score_kwh,near_exceed_area_kwh,exceed_area_kwh,max_raw_netload_kw,max_reduced_netload_kw,effective_scenarios
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,0,30,high_netload_tail,0.092,2066.1376953125,26.823529720306396,0.0,0.0,2066.1376953125,2066.1376953125,2.0350682968920437
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,1,31,low_pv_shortfall_tail,0.0,2066.1376953125,26.823529720306396,0.0,0.0,2066.1376953125,2066.1376953125,2.0350682968920437
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,2,23,dct_risk_tail,0.0,2066.1376953125,26.823529720306396,0.0,0.0,2066.1376953125,2066.1376953125,2.0350682968920437
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,3,108,typical,0.642,2014.582763671875,0.0,0.0,0.0,2066.1376953125,2066.1376953125,2.0350682968920437
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,4,222,typical,0.266,2057.57470703125,18.260361671447754,0.0,0.0,2066.1376953125,2066.1376953125,2.0350682968920437
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,0,493,high_netload_tail,0.018,2450.45947265625,98.53754615783691,0.0,0.0,2450.45947265625,2450.45947265625,2.2668746146313152
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,1,125,low_pv_shortfall_tail,0.006,2450.45947265625,115.44931936264038,0.0,0.0,2450.45947265625,2450.45947265625,2.2668746146313152
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,2,154,dct_risk_tail,0.064,2450.45947265625,97.48747825622559,0.0,0.0,2450.45947265625,2450.45947265625,2.2668746146313152
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,3,99,typical,0.558,2280.884521484375,0.0,0.0,0.0,2450.45947265625,2450.45947265625,2.2668746146313152
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,4,50,typical,0.354,2420.69921875,55.80432891845703,0.0,0.0,2450.45947265625,2450.45947265625,2.2668746146313152
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,0,70,high_netload_tail,0.092,2945.86181640625,222.51036071777344,0.0,0.0,2945.86181640625,2945.86181640625,2.769960334168015
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,1,448,low_pv_shortfall_tail,0.01,2945.86181640625,280.227087020874,0.0,0.0,2945.86181640625,2945.86181640625,2.769960334168015
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,2,93,dct_risk_tail,0.064,2945.86181640625,191.98754787445068,0.0,0.0,2945.86181640625,2945.86181640625,2.769960334168015
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,3,170,typical,0.434,2521.215087890625,19.398136138916016,0.0,0.0,2945.86181640625,2945.86181640625,2.769960334168015
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,4,177,typical,0.4,2898.314453125,121.13186645507812,0.0,0.0,2945.86181640625,2945.86181640625,2.769960334168015
