mode,load_profile_name,bridge_type,k,issue_time,scenario_id,scenario_weight,medoid_type,raw_scenario_id
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,0,0.092,high_netload_tail,30
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,1,0.0,low_pv_shortfall_tail,31
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,2,0.0,dct_risk_tail,23
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,3,0.642,typical,108
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 07:00:00,4,0.266,typical,222
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,0,0.018,high_netload_tail,493
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,1,0.006,low_pv_shortfall_tail,125
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,2,0.064,dct_risk_tail,154
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,3,0.558,typical,99
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 08:00:00,4,0.354,typical,50
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,0,0.092,high_netload_tail,70
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,1,0.01,low_pv_shortfall_tail,448
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,2,0.064,dct_risk_tail,93
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,3,0.434,typical,170
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 09:00:00,4,0.4,typical,177
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 10:00:00,0,0.062,high_netload_tail,59
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 10:00:00,1,0.026,low_pv_shortfall_tail,231
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 10:00:00,2,0.058,dct_risk_tail,61
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 10:00:00,3,0.104,typical,128
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 10:00:00,4,0.75,typical,446
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 11:00:00,0,0.098,high_netload_tail,1
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 11:00:00,1,0.01,low_pv_shortfall_tail,119
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 11:00:00,2,0.048,dct_risk_tail,189
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 11:00:00,3,0.534,typical,396
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 11:00:00,4,0.31,typical,337
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 12:00:00,0,0.288,high_netload_tail,228
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 12:00:00,1,0.008,low_pv_shortfall_tail,406
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 12:00:00,2,0.024,dct_risk_tail,46
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 12:00:00,3,0.55,typical,39
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 12:00:00,4,0.13,typical,255
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 13:00:00,0,0.328,high_netload_tail,19
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 13:00:00,1,0.052,low_pv_shortfall_tail,343
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 13:00:00,2,0.176,dct_risk_tail,463
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 13:00:00,3,0.384,typical,432
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 13:00:00,4,0.06,typical,443
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 14:00:00,0,0.284,high_netload_tail,486
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 14:00:00,1,0.01,low_pv_shortfall_tail,498
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 14:00:00,2,0.026,dct_risk_tail,234
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 14:00:00,3,0.394,typical,393
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 14:00:00,4,0.286,typical,258
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 15:00:00,0,0.072,high_netload_tail,185
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 15:00:00,1,0.018,low_pv_shortfall_tail,116
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 15:00:00,2,0.354,dct_risk_tail,263
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 15:00:00,3,0.094,typical,396
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 15:00:00,4,0.462,typical,341
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 16:00:00,0,0.078,high_netload_tail,20
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 16:00:00,1,0.01,low_pv_shortfall_tail,88
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 16:00:00,2,0.114,dct_risk_tail,280
ID_H24,structured_high,PV_TKM_LOWPV_SAFE,5,2024-10-31 16:00:00,3,0.158,typical,258
