mode,profile,bridge_type,issues,path,elapsed_sec
DA,base,PV_KM,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_base_km_K5_scenarios.parquet,8.058695554733276
DA,base,PV_TKM,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_base_tkm_K5_scenarios.parquet,8.022193193435669
DA,base,PV_TKM_SAFE,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_base_tkm_safe_K5_scenarios.parquet,8.155372381210327
ID_H24,base,PV_KM,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_base_km_K5_scenarios.parquet,194.13621950149536
ID_H24,base,PV_TKM,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_base_tkm_K5_scenarios.parquet,194.14281368255615
ID_H24,base,PV_TKM_SAFE,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_base_tkm_safe_K5_scenarios.parquet,199.68199348449707
DA,structured_low,PV_KM,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_structured_low_km_K5_scenarios.parquet,8.125595092773438
DA,structured_low,PV_TKM,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_structured_low_tkm_K5_scenarios.parquet,8.080418348312378
DA,structured_low,PV_TKM_SAFE,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_structured_low_tkm_safe_K5_scenarios.parquet,8.249383449554443
ID_H24,structured_low,PV_KM,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_structured_low_km_K5_scenarios.parquet,196.63744616508484
ID_H24,structured_low,PV_TKM,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_structured_low_tkm_K5_scenarios.parquet,200.6920292377472
ID_H24,structured_low,PV_TKM_SAFE,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_structured_low_tkm_safe_K5_scenarios.parquet,202.0681540966034
DA,structured_high,PV_KM,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_structured_high_km_K5_scenarios.parquet,8.251658916473389
DA,structured_high,PV_TKM,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_structured_high_tkm_K5_scenarios.parquet,8.08771538734436
DA,structured_high,PV_TKM_SAFE,365,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\da_pvfocus_structured_high_tkm_safe_K5_scenarios.parquet,8.35291075706482
ID_H24,structured_high,PV_KM,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_structured_high_km_K5_scenarios.parquet,199.10128235816956
ID_H24,structured_high,PV_TKM,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_structured_high_tkm_K5_scenarios.parquet,197.56118965148926
ID_H24,structured_high,PV_TKM_SAFE,8776,C:\Users\Harry\Downloads\Harry-PV\Harry-PV\Harry-PV\new_pipeline\data\output\experiments\pv_focused_structured_load_bias_bridge\id_h24_pvfocus_structured_high_tkm_safe_K5_scenarios.parquet,202.7939374446869
