mode,load_profile_name,bridge_type,min_weight,max_weight,weight_sum_min,weight_sum_max,effective_scenarios_mean
DA,base,PV_KM,0.01,0.814,0.9999999999999999,1.0000000000000002,3.760455579299356
DA,base,PV_TKM,0.006,0.766,0.9999999999999999,1.0,3.718934455014742
DA,base,PV_TKM_SAFE,0.008,0.828,0.9999999999999999,1.0,3.8099139700296845
ID_H24,base,PV_KM,0.0,1.0,0.9999999999999999,1.0000000000000002,3.248124323076481
ID_H24,base,PV_TKM,0.0,1.0,0.9999999999999999,1.0000000000000002,3.180585894035982
ID_H24,base,PV_TKM_SAFE,0.0,1.0,0.9999999999999999,1.0000000000000002,3.276267047399433
DA,structured_low,PV_KM,0.008,0.814,0.9999999999999999,1.0000000000000002,3.751946702230611
DA,structured_low,PV_TKM,0.006,0.718,0.9999999999999999,1.0000000000000002,3.6907697167159905
DA,structured_low,PV_TKM_SAFE,0.006,0.828,0.9999999999999999,1.0,3.7884064049569246
ID_H24,structured_low,PV_KM,0.0,1.0,0.9999999999999999,1.0000000000000002,3.274996764008927
ID_H24,structured_low,PV_TKM,0.0,1.0,0.9999999999999999,1.0000000000000002,3.1908281624775805
ID_H24,structured_low,PV_TKM_SAFE,0.0,1.0,0.9999999999999999,1.0000000000000002,3.2882634966688618
DA,structured_high,PV_KM,0.008,0.814,0.9999999999999999,1.0,3.6863382666479683
DA,structured_high,PV_TKM,0.004,0.75,0.9999999999999999,1.0,3.6750816819299823
DA,structured_high,PV_TKM_SAFE,0.006,0.77,0.9999999999999999,1.0,3.8046816888586377
ID_H24,structured_high,PV_KM,0.0,1.0,0.9999999999999999,1.0000000000000002,3.2339622049897083
ID_H24,structured_high,PV_TKM,0.0,1.0,0.9999999999999999,1.0000000000000002,3.1594209049602124
ID_H24,structured_high,PV_TKM_SAFE,0.0,1.0,0.9999999999999999,1.0000000000000002,3.254803084724003
