case,month_id,TOU_m_ntd,OC_DCT_m_ntd,Deg_m_ntd,monthly_peak_kw,oc_hours,risk0_hours,shield_slack_positive_hours,first_step_charging_near_risk_hours
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,3.2586920140923485,0.0,0.2148273297533905,3281.445580143894,0,0,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,3.494627504213119,0.21266175918471122,0.18895129231104985,3841.393897912345,10,0,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,3,4.70718961015828,0.251395695541747,0.19497152880240193,3918.7534672293727,54,0,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,4,5.022193191844169,0.48414537780602773,0.2083184404629551,4383.602043750804,83,0,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,5,7.3090469785072,0.9735888224746673,0.16811817701414442,4868.049648888889,118,0,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,6,8.395699049063415,0.5384917836480004,0.1323296852948802,4219.425560000001,107,13,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,7,8.413680282785215,0.47124324291200015,0.145329797964,4119.174306666667,82,10,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,8,7.534048329161422,0.5224221761638421,0.13778329444283632,4195.469675259156,50,3,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,9,9.665880032203248,0.9212539098186668,0.14052939789249258,4790.030995555556,175,4,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,10,7.867486113398265,1.0471327287893335,0.18359831909987248,4977.685764444444,151,8,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,5.335195824102338,0.681843920276,0.19771227772333438,4778.446346666667,90,1,0,0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,12,4.637854484452927,0.34784773934000024,0.2132875257865066,4111.387866666667,50,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,1,3.2584351821403956,0.0,0.21342534421750695,3253.8220488888887,0,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,2,3.5185227219531603,0.03155293675846294,0.1822049345811126,3400.9764732128906,2,0,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,3,4.767148586747216,0.06746084818938478,0.1745917904671689,3508.549605120985,17,2,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,4,5.123390862100914,0.09880645538042783,0.17312613529352822,3602.4549591984055,36,25,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,5,7.41646976761121,0.2237340019893336,0.14333728648047914,3750.198097777778,106,87,0,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,6,8.403899901420662,0.7173008607093335,0.13388286674048622,4485.986497777778,126,10,2,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,7,8.465377766705814,0.3767964669421728,0.1389001251120968,3978.377085483263,51,91,0,2
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,8,7.537910034712622,0.4268658306767199,0.1362007372414868,4053.0183552127605,85,26,0,1
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,9.69330155239836,0.8577894885092694,0.1406702418139922,4695.420945899328,182,30,2,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,10,7.907004770982255,0.7539438473493334,0.1749152419554577,4540.612297777778,157,15,2,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,11,5.427767669550136,0.1638952327300545,0.16679007411526559,3743.9972003795774,71,9,1,0
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,12,4.697637860335134,0.05468523499027104,0.19327059685899622,3470.276348083496,17,0,0,0
