case,month_id,monthly_peak_kw
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,3281.445580143894
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,3841.393897912345
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,3,3918.7534672293727
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,4,4383.602043750804
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,5,4868.049648888889
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,6,4219.425560000001
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,7,4119.174306666667
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,8,4195.469675259156
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,9,4790.030995555556
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,10,4977.685764444444
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,4778.446346666667
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,12,4111.387866666667
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,1,3253.8220488888887
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,2,3400.9764732128906
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,3,3508.549605120985
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,4,3602.4549591984055
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,5,3750.198097777778
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,6,4485.986497777778
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,7,3978.377085483263
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,8,4053.0183552127605
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,9,4695.420945899328
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,10,4540.612297777778
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,11,3743.9972003795774
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,12,3470.276348083496
