case,event_month_id,event_peak_timestamp,timestamp,relative_hour,demand_kw,grid_import_kw,soc_before_kwh,soc_after_kwh,p_ch_kw,p_dis_kw,D_guard_kw,z_shield_max_kw,risk0
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 05:00:00,-6,2888.9704399999996,2871.74,5338.0440000000035,6773.247,1510.74,0.0,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 06:00:00,-5,633.1935019999995,629.4169999999995,6773.247,5981.0543684210525,0.0,752.5830000000005,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 07:00:00,-4,747.1039997777777,742.6481111111111,5981.0543684210525,5188.8617368421055,0.0,752.5830000000001,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 08:00:00,-3,896.282622,890.9369999999999,5188.8617368421055,4396.669105263158,0.0,752.5830000000001,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 09:00:00,-2,1030.505677828099,1024.3595207038757,4396.669105263158,3635.891992553787,0.0,722.7382570739021,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 10:00:00,-1,1175.430010383123,1168.4194934225875,3635.891992553787,2923.447014869961,0.0,676.8227287996348,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 11:00:00,0,3281.445580143894,3261.8743341390596,2923.447014869961,4122.32685452429,1261.978778583504,0.0,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 12:00:00,1,3233.9575652357466,3214.669547948058,4122.32685452429,5315.229813963834,1255.687325725836,0.0,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 13:00:00,2,3157.2895445128956,3138.4587917623217,5315.229813963834,6389.319777249151,1130.6210139845439,0.0,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 14:00:00,3,1360.3101819999997,1352.1969999999997,6389.319777249151,5597.127145670203,0.0,752.5830000000005,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 15:00:00,4,2190.4979333333335,2177.4333333333334,5597.127145670203,5597.127145670203,0.0,0.0,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 16:00:00,5,1449.4020166203559,1440.7574717896182,5597.127145670203,4804.934514091256,0.0,752.5830000000001,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,2025-01-03 17:00:00,6,2104.552,2092.0,4804.934514091256,4804.934514091256,0.0,0.0,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 07:00:00,-6,848.7390619999994,843.6769999999995,5981.0543684210525,5188.861736842105,0.0,752.5830000000005,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 08:00:00,-5,1070.5240575555554,1064.139222222222,5188.861736842105,4396.669105263158,0.0,752.5830000000001,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 09:00:00,-4,1252.0399908888887,1244.5725555555555,4396.669105263158,3604.4764736842103,0.0,752.5830000000001,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 10:00:00,-3,1537.3314483555514,1528.1624735144646,3604.4764736842103,3202.3363873251674,0.0,382.033082041091,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 11:00:00,-2,3122.4542900652755,3103.831302251765,3202.3363873251674,4216.617791131011,1067.6646355850983,0.0,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 12:00:00,-1,3559.954832108677,3538.722497125921,4216.617791131011,5370.813163400635,1214.942497125921,0.0,3306.45,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 13:00:00,0,3841.393897912345,3818.482999912868,5370.813163400635,6535.972013317859,1226.4829999128676,0.0,3559.954832108677,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 14:00:00,1,1883.6515019999995,1872.4169999999995,6535.972013317859,5743.779381738911,0.0,752.5830000000005,3841.393897912345,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 15:00:00,2,1851.4595019999995,1840.4169999999995,5743.779381738911,4951.586750159963,0.0,752.5830000000005,3841.393897912345,0.0,False
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,2025-02-19 16:00:00,3,1784.173750888889,1773.5325555555555,4951.586750159963,4159.394118581016,0.0,752.5830000000001,3841.393897912345,0.0,False
