case,month_id,peak_timestamp,peak_demand_kw,grid_import_kw,soc_before_kwh,soc_after_kwh,p_ch_kw,p_dis_kw,D_guard_kw,D_cert_kw,risk0,z_shield_max_kw,first_step_netload_max_kw
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,1,2025-01-03 11:00:00,3281.445580143894,3261.8743341390596,2923.447014869961,4122.32685452429,1261.978778583504,0.0,3306.45,3156.45,False,0.0,1875.6454758896568
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,2,2025-02-19 13:00:00,3841.393897912345,3818.482999912868,5370.813163400635,6535.972013317859,1226.4829999128676,0.0,3559.954832108677,3409.954832108677,False,0.0,2163.134129419813
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,3,2025-03-18 13:00:00,3918.7534672293727,3895.3811801484817,5338.044,6709.190676696613,1443.3122912595927,0.0,3812.7221155555544,3662.7221155555544,False,0.0,2197.564563169388
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,4,2025-04-18 13:00:00,4383.602043750804,4357.457299951097,5338.044000000001,6739.49410162021,1475.2106332844305,0.0,4316.500088888889,4166.500088888889,False,0.0,2666.4395544778845
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,5,2025-05-09 13:00:00,4868.049648888889,4839.015555555556,5338.044,6773.246999999999,1510.74,0.0,4844.824462222221,4694.824462222221,False,0.0,2442.6477498292224
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,6,2025-06-03 11:00:00,4219.425560000001,4194.26,6297.726949320739,6297.726949320739,0.0,0.0,4148.727410744335,3998.7274107443354,False,0.0,3837.384095622542
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,7,2025-07-16 13:00:00,4119.174306666667,4094.6066666666666,6708.287158267052,6708.287158267052,0.0,0.0,3809.3794680774204,3659.3794680774204,False,0.0,2801.7346307285934
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,8,2025-08-31 14:00:00,4195.469675259156,4170.44699329936,752.5830000000001,2143.4846436343923,1464.10699329936,0.0,3919.15468,3769.15468,False,0.0,2282.5676389073997
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,9,2025-09-26 08:00:00,4790.030995555556,4761.462222222222,5338.044,6773.246999999999,1510.74,0.0,4712.6322947135795,4562.6322947135795,False,0.0,2986.039944334907
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,10,2025-10-17 11:00:00,4977.685764444444,4947.997777777778,3076.154669670469,4511.3576696704695,1510.74,0.0,4808.276952024518,4658.276952024518,False,0.0,2989.3120070057157
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,11,2024-11-15 13:00:00,4778.446346666667,4749.946666666667,5288.085638847855,6723.288638847855,1510.74,0.0,4632.465643423298,4482.465643423298,False,0.0,2627.1784290701053
CCOR_V2_DET_SHIELD_m150_PVFOCUS_BASE,12,2024-12-11 13:00:00,4111.387866666667,4086.866666666667,5338.044,6773.246999999999,1510.74,0.0,3987.1200400000002,3837.1200400000002,False,0.0,2041.305825233343
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,1,2025-01-16 13:00:00,3253.8220488888887,3234.4155555555553,5245.592136204077,6680.795136204077,1510.74,0.0,3306.45,3156.45,False,0.0,1492.73486328125
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,2,2025-02-19 13:00:00,3400.9764732128906,3380.692319297108,5627.190310888152,6376.448014220405,788.692319297108,0.0,3307.2116332470705,3157.2116332470705,False,0.0,2349.6890258789062
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,3,2025-03-18 11:00:00,3508.549605120985,3487.623861949289,3857.500616396714,5005.463174137428,1208.381639727067,0.0,3306.45,3156.45,False,0.0,1929.2426147460938
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_LOWPV_SAFE_K5,4,2025-04-23 15:00:00,3602.4549591984055,3580.969144332411,3010.2707501436716,2899.852305581297,0.0,104.89752233425583,3572.5675600000004,3422.5675600000004,True,0.0,3507.0521545410156
