case,month_id,monthly_peak_kw
DA_DET_PVFOCUS_BASE,1,3608.899808888889
DA_DET_PVFOCUS_BASE,2,4127.35644
DA_DET_PVFOCUS_BASE,3,4092.44824
DA_DET_PVFOCUS_BASE,4,4897.614871111111
DA_DET_PVFOCUS_BASE,5,5093.522901277452
DA_DET_PVFOCUS_BASE,6,4100.201263536665
DA_DET_PVFOCUS_BASE,7,4168.293933333333
DA_DET_PVFOCUS_BASE,8,3919.15468
DA_DET_PVFOCUS_BASE,9,4790.030995555556
DA_DET_PVFOCUS_BASE,10,5253.007631028301
DA_DET_PVFOCUS_BASE,11,4851.186853333333
DA_DET_PVFOCUS_BASE,12,4145.958497777778
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,1,3340.8558707758248
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,2,3567.3409159876833
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,3,3972.667888113471
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,4,3464.5566297209343
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,5,3657.213761384563
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,6,3843.849116056349
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,7,4175.372167650824
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,8,4050.7162562097674
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,9,4790.030995555556
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,10,4789.814093495673
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,11,3363.3774153173144
DA_PROB_PVFOCUS_LOWPV_SAFE_K5,12,3366.0542835024694
MPC_DET_PVFOCUS_BASE,1,3567.3631866666665
MPC_DET_PVFOCUS_BASE,2,3937.8327466666665
MPC_DET_PVFOCUS_BASE,3,4012.36668409207
MPC_DET_PVFOCUS_BASE,4,4645.798440403919
MPC_DET_PVFOCUS_BASE,5,4868.049648888889
MPC_DET_PVFOCUS_BASE,6,4485.986497777778
MPC_DET_PVFOCUS_BASE,7,4134.586103763898
MPC_DET_PVFOCUS_BASE,8,4116.565519511277
MPC_DET_PVFOCUS_BASE,9,5056.81532284907
MPC_DET_PVFOCUS_BASE,10,5133.697114518235
MPC_DET_PVFOCUS_BASE,11,4851.186853333333
MPC_DET_PVFOCUS_BASE,12,4145.958497777778
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,1,3320.7380694223357
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,2,3560.6371465104176
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,3,3834.1248270933697
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,4,3899.30572693763
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,5,4178.082771784497
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,6,4162.635742222222
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,7,4119.174306666667
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,8,4288.723198354177
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,9,4790.030995555556
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,10,4810.121933333334
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,11,4269.198498089634
MPC_PROB_PVFOCUS_LOWPV_SAFE_K5,12,3555.702299764408
