case,month_id,monthly_peak_kw
MPC_PROB_PVFOCUS_KM_K5,1,3551.1747430707815
MPC_PROB_PVFOCUS_KM_K5,2,3763.566884425455
MPC_PROB_PVFOCUS_KM_K5,3,3935.1814915408654
MPC_PROB_PVFOCUS_KM_K5,4,3991.530593125815
MPC_PROB_PVFOCUS_KM_K5,5,4434.221944689221
MPC_PROB_PVFOCUS_KM_K5,6,4373.441924444445
MPC_PROB_PVFOCUS_KM_K5,7,4119.174306666667
MPC_PROB_PVFOCUS_KM_K5,8,4224.970445464373
MPC_PROB_PVFOCUS_KM_K5,9,4738.432929855414
MPC_PROB_PVFOCUS_KM_K5,10,4958.201282307805
MPC_PROB_PVFOCUS_KM_K5,11,4220.332624597302
MPC_PROB_PVFOCUS_KM_K5,12,4079.2148527943236
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,1,3316.3542175453017
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,2,3528.5009113232422
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,3,3523.321251406176
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,4,3444.1203273289884
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,5,4437.4125388302955
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,6,4456.231333473578
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,7,4119.174306666667
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,8,4288.723198354177
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,9,4647.556804444444
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,10,4810.121933333334
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,11,3712.953287176378
CCOR_V2_PROB_SHIELD_m150_PVFOCUS_KM_K5,12,3380.9822270789923
