season,representative_date,lead_label,issue_time,target_time,hour_of_day,horizon_h,observed_ghi,q50_cal_point_forecast,zero_filled
Winter,2025-01-11,H1,,2025-01-11 00:00:00,0,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 01:00:00,1,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 02:00:00,2,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 03:00:00,3,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 04:00:00,4,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 05:00:00,5,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 06:00:00,6,1,0.0,0.0,True
Winter,2025-01-11,H1,2025-01-11 06:00:00,2025-01-11 07:00:00,7,1,2.7777777777777777,0.14157134993045029,False
Winter,2025-01-11,H1,2025-01-11 07:00:00,2025-01-11 08:00:00,8,1,25.0,53.05454718873092,False
Winter,2025-01-11,H1,2025-01-11 08:00:00,2025-01-11 09:00:00,9,1,41.666666666666664,59.0804922770917,False
Winter,2025-01-11,H1,2025-01-11 09:00:00,2025-01-11 10:00:00,10,1,113.88888888888889,67.76951361794585,False
Winter,2025-01-11,H1,2025-01-11 10:00:00,2025-01-11 11:00:00,11,1,100.0,130.3144765405539,False
Winter,2025-01-11,H1,2025-01-11 11:00:00,2025-01-11 12:00:00,12,1,105.55555555555556,106.15387536609978,False
Winter,2025-01-11,H1,2025-01-11 12:00:00,2025-01-11 13:00:00,13,1,63.888888888888886,98.54259261099037,False
Winter,2025-01-11,H1,2025-01-11 13:00:00,2025-01-11 14:00:00,14,1,66.66666666666667,53.282990679490894,False
Winter,2025-01-11,H1,2025-01-11 14:00:00,2025-01-11 15:00:00,15,1,58.333333333333336,45.06886813827703,False
Winter,2025-01-11,H1,2025-01-11 15:00:00,2025-01-11 16:00:00,16,1,41.666666666666664,30.987344981903714,False
Winter,2025-01-11,H1,2025-01-11 16:00:00,2025-01-11 17:00:00,17,1,16.666666666666668,15.319318214586342,False
Winter,2025-01-11,H1,,2025-01-11 18:00:00,18,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 19:00:00,19,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 20:00:00,20,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 21:00:00,21,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 22:00:00,22,1,0.0,0.0,True
Winter,2025-01-11,H1,,2025-01-11 23:00:00,23,1,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 00:00:00,0,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 01:00:00,1,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 02:00:00,2,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 03:00:00,3,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 04:00:00,4,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 05:00:00,5,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 06:00:00,6,24,0.0,0.0,True
Winter,2025-01-11,H24,2025-01-10 07:00:00,2025-01-11 07:00:00,7,24,2.7777777777777777,0.0035431593329759577,False
Winter,2025-01-11,H24,2025-01-10 08:00:00,2025-01-11 08:00:00,8,24,25.0,10.13205583680281,False
Winter,2025-01-11,H24,2025-01-10 09:00:00,2025-01-11 09:00:00,9,24,41.666666666666664,35.8388724897855,False
Winter,2025-01-11,H24,2025-01-10 10:00:00,2025-01-11 10:00:00,10,24,113.88888888888889,57.379618404996535,False
Winter,2025-01-11,H24,2025-01-10 11:00:00,2025-01-11 11:00:00,11,24,100.0,81.94176302553865,False
Winter,2025-01-11,H24,2025-01-10 12:00:00,2025-01-11 12:00:00,12,24,105.55555555555556,96.25232384418466,False
Winter,2025-01-11,H24,2025-01-10 13:00:00,2025-01-11 13:00:00,13,24,63.888888888888886,87.92078298899497,False
Winter,2025-01-11,H24,2025-01-10 14:00:00,2025-01-11 14:00:00,14,24,66.66666666666667,65.07982102280407,False
Winter,2025-01-11,H24,2025-01-10 15:00:00,2025-01-11 15:00:00,15,24,58.333333333333336,51.31424417860293,False
Winter,2025-01-11,H24,2025-01-10 16:00:00,2025-01-11 16:00:00,16,24,41.666666666666664,28.03068142281619,False
Winter,2025-01-11,H24,2025-01-10 17:00:00,2025-01-11 17:00:00,17,24,16.666666666666668,12.348031110832773,False
Winter,2025-01-11,H24,,2025-01-11 18:00:00,18,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 19:00:00,19,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 20:00:00,20,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 21:00:00,21,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 22:00:00,22,24,0.0,0.0,True
Winter,2025-01-11,H24,,2025-01-11 23:00:00,23,24,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 00:00:00,0,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 01:00:00,1,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 02:00:00,2,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 03:00:00,3,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 04:00:00,4,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 05:00:00,5,1,0.0,0.0,True
Spring,2025-05-23,H1,2025-05-23 05:00:00,2025-05-23 06:00:00,6,1,30.555555555555557,26.948359746893374,False
Spring,2025-05-23,H1,2025-05-23 06:00:00,2025-05-23 07:00:00,7,1,125.0,150.59207089274344,False
Spring,2025-05-23,H1,2025-05-23 07:00:00,2025-05-23 08:00:00,8,1,430.55555555555554,307.7576556084376,False
Spring,2025-05-23,H1,2025-05-23 08:00:00,2025-05-23 09:00:00,9,1,563.8888888888888,612.1767460515882,False
Spring,2025-05-23,H1,2025-05-23 09:00:00,2025-05-23 10:00:00,10,1,822.2222222222222,733.2080026937138,False
Spring,2025-05-23,H1,2025-05-23 10:00:00,2025-05-23 11:00:00,11,1,891.6666666666666,862.1451833259359,False
Spring,2025-05-23,H1,2025-05-23 11:00:00,2025-05-23 12:00:00,12,1,880.5555555555555,867.2878832942712,False
Spring,2025-05-23,H1,2025-05-23 12:00:00,2025-05-23 13:00:00,13,1,777.7777777777778,752.4095632644435,False
Spring,2025-05-23,H1,2025-05-23 13:00:00,2025-05-23 14:00:00,14,1,436.1111111111111,617.8157635102799,False
Spring,2025-05-23,H1,2025-05-23 14:00:00,2025-05-23 15:00:00,15,1,480.55555555555554,355.04513412859245,False
Spring,2025-05-23,H1,2025-05-23 15:00:00,2025-05-23 16:00:00,16,1,500.0,299.6423358747767,False
Spring,2025-05-23,H1,2025-05-23 16:00:00,2025-05-23 17:00:00,17,1,219.44444444444446,242.0375203001837,False
Spring,2025-05-23,H1,2025-05-23 17:00:00,2025-05-23 18:00:00,18,1,43.51910620643879,43.08588954840425,False
Spring,2025-05-23,H1,,2025-05-23 19:00:00,19,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 20:00:00,20,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 21:00:00,21,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 22:00:00,22,1,0.0,0.0,True
Spring,2025-05-23,H1,,2025-05-23 23:00:00,23,1,0.0,0.0,True
Spring,2025-05-23,H24,,2025-05-23 00:00:00,0,24,0.0,0.0,True
Spring,2025-05-23,H24,,2025-05-23 01:00:00,1,24,0.0,0.0,True
Spring,2025-05-23,H24,,2025-05-23 02:00:00,2,24,0.0,0.0,True
Spring,2025-05-23,H24,,2025-05-23 03:00:00,3,24,0.0,0.0,True
Spring,2025-05-23,H24,,2025-05-23 04:00:00,4,24,0.0,0.0,True
Spring,2025-05-23,H24,,2025-05-23 05:00:00,5,24,0.0,0.0,True
Spring,2025-05-23,H24,2025-05-22 06:00:00,2025-05-23 06:00:00,6,24,30.555555555555557,32.40965551113087,False
Spring,2025-05-23,H24,2025-05-22 07:00:00,2025-05-23 07:00:00,7,24,125.0,150.99539775454303,False
Spring,2025-05-23,H24,2025-05-22 08:00:00,2025-05-23 08:00:00,8,24,430.55555555555554,322.6072096151359,False
Spring,2025-05-23,H24,2025-05-22 09:00:00,2025-05-23 09:00:00,9,24,563.8888888888888,515.9095008777809,False
Spring,2025-05-23,H24,2025-05-22 10:00:00,2025-05-23 10:00:00,10,24,822.2222222222222,659.030132157264,False
Spring,2025-05-23,H24,2025-05-22 11:00:00,2025-05-23 11:00:00,11,24,891.6666666666666,725.4641945027322,False
Spring,2025-05-23,H24,2025-05-22 12:00:00,2025-05-23 12:00:00,12,24,880.5555555555555,752.2348574092803,False
Spring,2025-05-23,H24,2025-05-22 13:00:00,2025-05-23 13:00:00,13,24,777.7777777777778,714.6219170499616,False
Spring,2025-05-23,H24,2025-05-22 14:00:00,2025-05-23 14:00:00,14,24,436.1111111111111,588.7103589287,False
Spring,2025-05-23,H24,2025-05-22 15:00:00,2025-05-23 15:00:00,15,24,480.55555555555554,439.920916244518,False
Spring,2025-05-23,H24,2025-05-22 16:00:00,2025-05-23 16:00:00,16,24,500.0,288.2260585748901,False
Spring,2025-05-23,H24,2025-05-22 17:00:00,2025-05-23 17:00:00,17,24,219.44444444444446,172.38161232324003,False
Spring,2025-05-23,H24,2025-05-22 18:00:00,2025-05-23 18:00:00,18,24,43.51910620643879,41.75461712941429,False
Spring,2025-05-23,H24,,2025-05-23 19:00:00,19,24,0.0,0.0,True
Spring,2025-05-23,H24,,2025-05-23 20:00:00,20,24,0.0,0.0,True
