issue_time,raw_low_pv_scenario_count,raw_low_pv_probability_mass,R1_low_pv_representative_count,R3_low_pv_representative_count,R1_low_pv_included,R3_low_pv_included,R1_low_pv_inclusion_score,R3_low_pv_inclusion_score,low_pv_threshold_p05_energy_kwh
2024-10-31 07:00:00,29,0.058,0,1,False,True,0.0,1.0,6.582155704498291
2024-10-31 08:00:00,25,0.05,0,1,False,True,0.0,1.0,51.403875541687015
2024-10-31 09:00:00,25,0.05,0,1,False,True,0.0,1.0,135.8547088623047
2024-10-31 10:00:00,25,0.05,0,2,False,True,0.0,1.0,274.9954116821289
2024-10-31 11:00:00,25,0.05,0,2,False,True,0.0,1.0,422.42100677490237
2024-10-31 12:00:00,25,0.05,0,1,False,True,0.0,1.0,656.9664123535156
2024-10-31 13:00:00,25,0.05,0,1,False,True,0.0,1.0,858.7999542236328
2024-10-31 14:00:00,25,0.05,0,1,False,True,0.0,1.0,1084.8195556640626
2024-10-31 15:00:00,25,0.05,0,2,False,True,0.0,1.0,1267.7165893554688
2024-10-31 16:00:00,25,0.05,0,2,False,True,0.0,1.0,1368.155694580078
2024-10-31 17:00:00,25,0.05,0,2,False,True,0.0,1.0,1338.6045288085938
2024-10-31 18:00:00,25,0.05,0,2,False,True,0.0,1.0,1310.0318908691406
2024-10-31 19:00:00,25,0.05,0,2,False,True,0.0,1.0,1361.7783630371093
2024-10-31 20:00:00,25,0.05,0,1,False,True,0.0,1.0,1436.3238342285156
2024-10-31 21:00:00,25,0.05,0,2,False,True,0.0,1.0,1354.9451904296875
2024-10-31 22:00:00,25,0.05,0,2,False,True,0.0,1.0,1285.0338439941406
2024-10-31 23:00:00,25,0.05,0,3,False,True,0.0,1.0,1274.8439819335938
2024-11-01 00:00:00,25,0.05,0,2,False,True,0.0,1.0,1441.9568298339846
2024-11-01 01:00:00,25,0.05,0,2,False,True,0.0,1.0,1404.177331542969
2024-11-01 02:00:00,25,0.05,0,1,False,True,0.0,1.0,1339.742901611328
2024-11-01 03:00:00,25,0.05,0,2,False,True,0.0,1.0,1420.416552734375
2024-11-01 04:00:00,25,0.05,0,1,False,True,0.0,1.0,1364.0643188476563
2024-11-01 05:00:00,25,0.05,0,2,False,True,0.0,1.0,1426.9030456542969
2024-11-01 06:00:00,25,0.05,0,1,False,True,0.0,1.0,1429.31826171875
2024-11-01 07:00:00,25,0.05,0,1,False,True,0.0,1.0,1454.2154235839844
2024-11-01 08:00:00,25,0.05,0,2,False,True,0.0,1.0,1301.0450134277344
2024-11-01 09:00:00,25,0.05,0,1,False,True,0.0,1.0,1304.9842834472656
2024-11-01 10:00:00,25,0.05,0,2,False,True,0.0,1.0,1589.3981872558595
